Date,VZ Searches
2021-07-01,48
2021-07-02,56
2021-07-03,24
2021-07-04,31
2021-07-05,22
2021-07-06,48
2021-07-07,79
2021-07-08,44
2021-07-09,74
2021-07-10,24
2021-07-11,24
2021-07-12,54
2021-07-13,65
2021-07-14,43
2021-07-15,32
2021-07-16,22
2021-07-17,12
2021-07-18,32
2021-07-19,39
2021-07-20,84
2021-07-21,90
2021-07-22,100
2021-07-23,28
2021-07-24,30
2021-07-25,24
2021-07-26,48
2021-07-27,27
2021-07-28,32
2021-07-29,59
2021-07-30,33
2021-07-31,12
2021-08-01,12
2021-08-02,64
2021-08-03,48
2021-08-04,43
2021-08-05,48
2021-08-06,56
2021-08-07,30
2021-08-08,6
2021-08-09,32
2021-08-10,60
2021-08-11,44
2021-08-12,49
2021-08-13,67
2021-08-14,12
2021-08-15,12
2021-08-16,33
2021-08-17,32
2021-08-18,43
2021-08-19,32
2021-08-20,21
2021-08-21,30
2021-08-22,18
2021-08-23,47
2021-08-24,65
2021-08-25,38
2021-08-26,43
2021-08-27,55
2021-08-28,18
2021-08-29,36
2021-08-30,32
2021-08-31,72
2021-09-01,17
2021-09-02,51
2021-09-03,42
2021-09-04,13
2021-09-05,13
2021-09-06,12
2021-09-07,46
2021-09-08,57
2021-09-09,87
2021-09-10,55
2021-09-11,26
2021-09-12,13
2021-09-13,23
2021-09-14,44
2021-09-15,39
2021-09-16,58
2021-09-17,30
2021-09-18,13
2021-09-19,13
2021-09-20,45
2021-09-21,68
2021-09-22,33
2021-09-23,46
2021-09-24,60
2021-09-25,19
2021-09-26,13
2021-09-27,68
2021-09-28,38
2021-09-29,56
2021-09-30,45
2021-10-01,47
2021-10-02,26
2021-10-03,19
2021-10-04,38
2021-10-05,61
2021-10-06,8
2021-10-07,46
2021-10-08,48
2021-10-09,18
2021-10-10,4
2021-10-11,71
2021-10-12,75
2021-10-13,52
2021-10-14,59
2021-10-15,28
2021-10-16,22
2021-10-17,13
2021-10-18,27
2021-10-19,42
2021-10-20,53
2021-10-21,58
2021-10-22,72
2021-10-23,22
2021-10-24,21
2021-10-25,42
2021-10-26,54
2021-10-27,23
2021-10-28,58
2021-10-29,60
2021-10-30,30
2021-10-31,26
2021-11-01,40
2021-11-02,42
2021-11-03,46
2021-11-04,43
2021-11-05,48
2021-11-06,9
2021-11-07,4
2021-11-08,47
2021-11-09,31
2021-11-10,35
2021-11-11,59
2021-11-12,32
2021-11-13,39
2021-11-14,21
2021-11-15,35
2021-11-16,35
2021-11-17,37
2021-11-18,46
2021-11-19,43
2021-11-20,35
2021-11-21,4
2021-11-22,19
2021-11-23,52
2021-11-24,19
2021-11-25,15
2021-11-26,31
2021-11-27,8
2021-11-28,33
2021-11-29,22
2021-11-30,56
2021-12-01,40
2021-12-02,34
2021-12-03,58
2021-12-04,8
2021-12-05,8
2021-12-06,49
2021-12-07,41
2021-12-08,55
2021-12-09,35
2021-12-10,64
2021-12-11,13
2021-12-12,9
2021-12-13,43
2021-12-14,27
2021-12-15,74
2021-12-16,68
2021-12-17,34
2021-12-18,60
2021-12-19,28
2021-12-20,46
2021-12-21,57
2021-12-22,41
2021-12-23,51
2021-12-24,24
2021-12-25,10
2021-12-26,9
2021-12-27,63
2021-12-28,29
2021-12-29,17
2021-12-30,47
2021-12-31,46
2022-01-01,10
2022-01-02,9
2022-01-03,40
2022-01-04,36
2022-01-05,48
2022-01-06,48
2022-01-07,37
2022-01-08,26
2022-01-09,22
2022-01-10,27
2022-01-11,49
2022-01-12,34
2022-01-13,48
2022-01-14,28
2022-01-15,4
2022-01-16,13
2022-01-17,19
2022-01-18,29
2022-01-19,28
2022-01-20,25
